date,run_ts,snapshot_ts,recorded_ts,event,run_id,run_attempt,sha,outcome,elapsed_s,budget_s,budget_skipped,cg_plan,markets_fetched,markets_unique,scored,persisted,xsec_rows,perp_rows,nightly_step,rwa_gate,parity_gate,crypto_gate,atr_gate,crypto_publish,rwa_publish,rwa_status,signals_latest,xsec_latest,perp_as_of,walkforward_to,rwa_date,spec_hash
2026-09-24,2026-09-24T11:49:58+00:00,2026-09-24T11:50:03+00:00,2026-09-24T11:53:18+00:00,schedule,35995319019,1,e8c94dbf447f,completed,195.3,660.0,,demo,250,250,235,50,235,235,success,success,success,success,success,commit,commit,degraded,2026-09-24,2026-09-24,2026-09-24,2026-09-24,2026-09-24,91bbc2a7e466
2026-09-25,2026-09-25T11:54:25+00:00,2026-09-25T11:54:30+00:00,2026-09-25T11:57:53+00:00,schedule,36131927210,1,e584c437c40b,completed,195.4,660.0,,demo,250,250,235,50,235,235,success,success,success,success,success,commit,commit,complete,2026-09-25,2026-09-25,2026-09-25,2026-09-25,2026-09-25,91bbc2a7e466
